src des bd delay plr 
0 1 101.766341 0.013453 0.007553
0 11 100.685262 0.5320287609462317 0.013403
1 2 100.052399 0.013454 0.008118
1 12 101.649805 1.1611069694323914 0.011492
2 3 104.185345 0.013451 0.010847
2 13 102.156804 2.1005883365018265 0.005432
3 4 103.898707 0.013441 0.00748
3 14 109.713633 2.370973988855957 0.014728
4 5 103.879654 0.01343 0.00778
4 15 105.461124 1.6570129990983054 0.011175
5 6 100.657477 0.013426 0.005847
5 16 105.909661 0.7564576213108326 0.010308
6 7 108.419355 0.013432 0.007774
6 17 109.345289 0.6247235302745038 0.012389
7 8 106.445116 0.013443 0.01239
7 18 104.712589 1.684641085290364 0.007345
8 9 103.137001 0.013452 0.007654
8 19 106.282943 2.353891875034798 0.011679
9 10 103.86836 0.013454 0.009127
9 20 102.59362 2.0858677497456863 0.00504
10 0 101.336424 0.013453 0.011327
10 21 102.179109 1.1600944558114386 0.01437
11 12 100.060041 0.013454 0.014532
11 22 108.591305 0.6263776010266457 0.007682
12 13 105.486239 0.013453 0.010563
12 23 107.603913 1.6873045328667704 0.008622
13 14 104.828702 0.013447 0.008442
13 24 105.466232 2.3551321050920357 0.00781
14 15 103.149314 0.013436 0.013943
14 25 101.012344 2.0835135420157735 0.013385
15 16 103.458232 0.013427 0.01084
15 26 107.917976 1.15817782671487 0.007561
16 17 107.201349 0.013428 0.013788
16 27 102.167457 0.5304849713987153 0.01105
17 18 106.433555 0.013437 0.008192
17 28 104.970154 1.1587722061266814 0.008565
18 19 101.437621 0.013448 0.013678
18 29 100.428629 2.0983042522389312 0.009465
19 20 101.318023 0.013454 0.010332
19 30 108.908599 2.3724689782563404 0.01396
20 21 106.037138 0.013454 0.011765
20 31 102.145534 1.659506230384586 0.012693
21 11 101.073682 0.013453 0.006695
21 32 103.103734 0.7575242870794341 0.014328
22 23 105.808104 0.013453 0.013583
22 33 104.739192 0.5320289128287611 0.007525
23 24 101.715015 0.013454 0.014093
23 34 103.748113 1.161106742046413 0.014864
24 25 107.781141 0.013451 0.011397
24 35 108.803981 2.1005885368195667 0.006239
25 26 105.758749 0.013441 0.014633
25 36 100.47568 2.370974110251823 0.005777
26 27 102.668247 0.01343 0.007546
26 37 104.720233 1.6570131340676078 0.007729
27 28 103.886874 0.013426 0.013833
27 38 109.194345 0.7564572994886629 0.00849
28 29 102.504528 0.013432 0.012436
28 39 102.470922 0.6247232523228508 0.01073
29 30 108.392653 0.013443 0.013756
29 40 109.363385 1.684640667441713 0.014446
30 31 107.027903 0.013452 0.005959
30 41 105.835934 2.353891932982322 0.00675
31 32 105.387135 0.013454 0.014331
31 42 102.95927 2.0858674126658774 0.011865
32 22 100.919593 0.013453 0.014478
32 43 108.189669 1.160094746008101 0.008989
33 34 105.476332 0.013454 0.009112
33 44 108.043448 0.6263772496959256 0.012686
34 35 101.718398 0.013453 0.01494
34 45 108.719132 1.6873044776416875 0.011381
35 36 105.285399 0.013447 0.012399
35 46 108.664234 2.355132003682466 0.010101
36 37 109.593228 0.013436 0.007919
36 47 104.749528 2.083513778877391 0.013794
37 38 100.826685 0.013427 0.007138
37 48 102.410258 1.1581781702158052 0.007563
38 39 105.289911 0.013428 0.011617
38 49 101.001281 0.5304848595725633 0.012239
39 40 105.737404 0.013437 0.01332
39 50 106.417796 1.158772660562525 0.014957
40 41 105.142248 0.013448 0.006665
40 51 103.222604 2.0983043058444837 0.008734
41 42 103.260617 0.013454 0.009938
41 52 101.478387 2.372469056857708 0.012799
42 43 107.621815 0.013454 0.008398
42 53 106.349537 1.6595065696022095 0.006931
43 33 106.316938 0.013453 0.009035
43 54 108.327346 0.757524556673103 0.011955
44 45 107.284591 0.013453 0.006556
44 55 107.776684 0.5320288777278095 0.012145
45 46 102.986962 0.013454 0.013099
45 56 103.062706 1.1611065323319305 0.010213
46 47 100.873083 0.013451 0.00516
46 57 103.828857 2.1005883552027087 0.010642
47 48 107.16985 0.013441 0.008633
47 58 102.852117 2.3709734851741278 0.011257
48 49 103.592003 0.01343 0.014224
48 59 104.320721 1.6570127455391284 0.013084
49 50 106.533222 0.013426 0.008648
49 60 109.463863 0.7564574008463981 0.005178
50 51 107.063821 0.013432 0.009765
50 61 103.696626 0.624723556034565 0.008212
51 52 102.575417 0.013443 0.009956
51 62 103.166037 1.684640835254914 0.01192
52 53 101.321397 0.013452 0.013492
52 63 109.657708 2.3538915594254135 0.006543
53 54 106.965089 0.013454 0.012967
53 64 103.886336 2.0858669140514747 0.01121
54 44 106.348372 0.013453 0.005085
54 65 103.205056 1.1600942445654439 0.006792
55 56 100.359174 0.013454 0.008938
55 0 103.99403 0.6263774556441032 0.009406
56 57 108.001407 0.013453 0.006039
56 1 106.683167 1.6873042383364991 0.011308
57 58 101.736365 0.013447 0.005558
57 2 108.774161 2.355132037904742 0.00863
58 59 106.623668 0.013436 0.00786
58 3 103.774002 2.0835135577843533 0.009003
59 60 103.734493 0.013427 0.007967
59 4 100.954692 1.1581780478111896 0.007666
60 61 106.676912 0.013428 0.012923
60 5 100.427454 0.5304853938345837 0.014984
61 62 109.615515 0.013437 0.008298
61 6 102.708331 1.1587726131195317 0.006113
62 63 102.523924 0.013448 0.007573
62 7 105.289835 2.0983044338793126 0.011417
63 64 106.065078 0.013454 0.005575
63 8 108.425627 2.372469281293613 0.007965
64 65 109.9535 0.013454 0.014039
64 9 109.282424 1.6595064718426056 0.005742
65 55 102.339084 0.013453 0.008855
65 10 108.576446 0.7575243333034916 0.014314
